person_name_norm,category,film_count,avg_rating
yash ahlawat,actor,3,4.1333333333333329
daniel stisen,actor,3,4.1333333333333329
julius jimenez hugoson,actor,3,4.1333333333333329
karan veer mehra,actor,3,4.1333333333333337
bhasker patel,actor,3,4.1333333333333337
michael graham,actor,3,4.1333333333333337
david backus,actor,3,4.1333333333333337
conan stevens,actor,3,4.1333333333333337
levent özdilek,actor,3,4.1333333333333337
danny bohnen,actor,3,4.1333333333333337
gianni capaldi,actor,14,4.1357142857142861
michael higgs,actor,4,4.1499999999999995
bruno arena,actor,4,4.1499999999999995
arved birnbaum,actor,4,4.15
weston cage,actor,6,4.15
kevin iannotta,actor,6,4.15
max cavallari,actor,4,4.15
laurence r. harvey,actor,3,4.1666666666666661
geoffrey moore,actor,3,4.1666666666666661
petrônio gontijo,actor,3,4.166666666666667
mark d. claxton,actor,3,4.166666666666667
lenny juliano,actor,3,4.166666666666667
billy aaron brown,actor,3,4.166666666666667
david chisum,actor,3,4.166666666666667
scott valentine,actor,3,4.166666666666667
christian stokes,actor,4,4.175
hakan akin,actor,4,4.175
tyler johnson,actor,4,4.175
brent huff,actor,4,4.175
joey sagal,actor,4,4.175
rob alec,actor,4,4.175
john patrick jordan,actor,4,4.1750000000000007
jeff conaway,actor,4,4.1750000000000007
c.j. thomason,actor,5,4.18
nik goldman,actor,5,4.18
paul mccarthy-boyington,actor,5,4.1800000000000006
safak sezer,actor,19,4.1842105263157894
gary daniels,actor,17,4.1941176470588237
gary kent,actor,3,4.1999999999999993
lomax study,actor,3,4.1999999999999993
david banks,actor,4,4.1999999999999993
seth allyn austin,actor,3,4.1999999999999993
brian hull,actor,3,4.1999999999999993
ryan pinkston,actor,6,4.1999999999999993
eric colley,actor,3,4.2
rayner gabriel,actor,4,4.2
anthony dexter,actor,4,4.2
george stover,actor,4,4.2
kenne duncan,actor,4,4.2
david mcconnell,actor,3,4.2
joseph mazzaferro,actor,3,4.2
peter spellos,actor,4,4.2
chao jiang,actor,3,4.2
erich redman,actor,3,4.2
james fisher,actor,3,4.2
prinya intachai,actor,3,4.2
circus-szalewski,actor,6,4.2
robert pike daniel,actor,3,4.2
serkan sengül,actor,8,4.2
david jean thomas,actor,4,4.2
myles cranford,actor,3,4.2
marques houston,actor,4,4.2
beach dickerson,actor,7,4.2142857142857144
brian krause,actor,12,4.2166666666666668
tyler jon olson,actor,11,4.2181818181818178
john henry richardson,actor,4,4.225
steve lundquist,actor,4,4.225
kurt angle,actor,3,4.2333333333333334
aleksey demidov,actor,3,4.2333333333333334
marcos woinsky,actor,3,4.2333333333333334
jeff locker,actor,3,4.2333333333333334
michael sonye,actor,3,4.2333333333333334
pavel volya,actor,3,4.2333333333333334
bishop ali stevens,actor,3,4.2333333333333334
emmanuel xuereb,actor,3,4.2333333333333334
brad harris,actor,6,4.2333333333333334
michael swatton,actor,3,4.2333333333333334
mirko d'antona,actor,3,4.2333333333333334
matt daciw,actor,3,4.2333333333333334
lejon woods,actor,7,4.2428571428571429
steffen mennekes,actor,4,4.25
ian duncan,actor,4,4.25
luke baines,actor,4,4.25
eric pierpoint,actor,4,4.25
rory wilton,actor,4,4.25
eldar bogunov,actor,4,4.25
pancho moler,actor,4,4.25
rufus swart,actor,4,4.25
cheney chen,actor,4,4.25
ryan francis,actor,4,4.25
steven brand,actor,10,4.26
alain moussi,actor,5,4.26
aayush sharma,actor,3,4.2666666666666657
howard dell,actor,3,4.2666666666666666
doug tompos,actor,3,4.2666666666666666
hakan ural,actor,3,4.2666666666666666
wes mcgee,actor,3,4.2666666666666666
stuart anderson,actor,3,4.2666666666666666
arzhang amirfazli,actor,3,4.2666666666666666
kostas apostolakis,actor,3,4.2666666666666666
sam oz stone,actor,3,4.2666666666666666
michael blackson,actor,3,4.2666666666666666
john buffalo mailer,actor,3,4.2666666666666666
michael traynor,actor,3,4.2666666666666666
jack erdie,actor,3,4.2666666666666666
konrad baumann,actor,3,4.2666666666666666
tom taplin,actor,3,4.2666666666666675
chris cimperman,actor,4,4.2749999999999995
robert donavan,actor,4,4.2749999999999995
steven blades,actor,4,4.275
attila árpa,actor,4,4.275
david andriole,actor,4,4.275
eoin o'brien,actor,4,4.275
jackson davis,actor,4,4.275
wayne gordon,actor,5,4.2799999999999994
adam campbell,actor,5,4.2799999999999994
